train_loss,epoch,step,val_loss,val_acc,train_acc,test_acc
0.6484502553939819,0,49,,,,
0.5447272658348083,0,99,,,,
0.5166094303131104,0,149,,,,
0.7622420787811279,0,199,,,,
0.5182197093963623,0,249,,,,
0.5407808423042297,0,299,,,,
0.5734522938728333,0,349,,,,
0.5198074579238892,0,399,,,,
0.5799726843833923,0,449,,,,
,0,449,0.5069335699081421,0.7612500190734863,,
,0,449,,,0.7147916555404663,
0.7394444346427917,1,499,,,,
0.43903830647468567,1,549,,,,
0.36272764205932617,1,599,,,,
0.5127196907997131,1,649,,,,
0.49727270007133484,1,699,,,,
0.40005528926849365,1,749,,,,
0.4423179626464844,1,799,,,,
0.4841868281364441,1,849,,,,
0.5105448961257935,1,899,,,,
,1,899,0.46410083770751953,0.7943750023841858,,
,1,899,,,0.7876389026641846,
0.42938220500946045,2,949,,,,
0.29575642943382263,2,999,,,,
0.3721771836280823,2,1049,,,,
0.4296804964542389,2,1099,,,,
0.4754057228565216,2,1149,,,,
0.3016378581523895,2,1199,,,,
0.3578706383705139,2,1249,,,,
0.6722083687782288,2,1299,,,,
0.47700098156929016,2,1349,,,,
,2,1349,0.4097180664539337,0.8306249976158142,,
,2,1349,,,0.8177777528762817,
0.6266263723373413,3,1399,,,,
0.3701673448085785,3,1449,,,,
0.4125843942165375,3,1499,,,,
0.3792736232280731,3,1549,,,,
0.3109889328479767,3,1599,,,,
0.46640723943710327,3,1649,,,,
0.3037858009338379,3,1699,,,,
0.21053610742092133,3,1749,,,,
0.2881517708301544,3,1799,,,,
,3,1799,0.4153596758842468,0.8181250095367432,,
,3,1799,,,0.8332638740539551,
0.4125792384147644,4,1849,,,,
0.36491596698760986,4,1899,,,,
0.26772192120552063,4,1949,,,,
0.5548307299613953,4,1999,,,,
0.30687272548675537,4,2049,,,,
0.41764235496520996,4,2099,,,,
0.28569987416267395,4,2149,,,,
0.5124602913856506,4,2199,,,,
0.26292097568511963,4,2249,,,,
,4,2249,0.38511478900909424,0.859375,,
,4,2249,,,0.8440277576446533,
0.2857738733291626,5,2299,,,,
0.2308771312236786,5,2349,,,,
0.3089790940284729,5,2399,,,,
0.49254947900772095,5,2449,,,,
0.3312491178512573,5,2499,,,,
0.28058332204818726,5,2549,,,,
0.2192414402961731,5,2599,,,,
0.3940905034542084,5,2649,,,,
0.41493234038352966,5,2699,,,,
,5,2699,0.3827038109302521,0.8456249833106995,,
,5,2699,,,0.8572916388511658,
0.22604483366012573,6,2749,,,,
0.36838817596435547,6,2799,,,,
0.6943559646606445,6,2849,,,,
0.23483708500862122,6,2899,,,,
0.39798030257225037,6,2949,,,,
0.30170056223869324,6,2999,,,,
0.2208096832036972,6,3049,,,,
0.32759690284729004,6,3099,,,,
0.24157433211803436,6,3149,,,,
,6,3149,0.3762744963169098,0.8587499856948853,,
,6,3149,,,0.8670833110809326,
0.27877408266067505,7,3199,,,,
0.30129384994506836,7,3249,,,,
0.3942350149154663,7,3299,,,,
0.3383636474609375,7,3349,,,,
0.3963506519794464,7,3399,,,,
0.25226762890815735,7,3449,,,,
0.5135425329208374,7,3499,,,,
0.5810824632644653,7,3549,,,,
0.31598418951034546,7,3599,,,,
,7,3599,0.377036452293396,0.8581249713897705,,
,7,3599,,,0.8709027767181396,
0.24360814690589905,8,3649,,,,
0.42407143115997314,8,3699,,,,
0.23790253698825836,8,3749,,,,
0.5497264862060547,8,3799,,,,
0.12430234998464584,8,3849,,,,
0.3960341811180115,8,3899,,,,
0.2921116054058075,8,3949,,,,
0.45556601881980896,8,3999,,,,
0.25455981492996216,8,4049,,,,
,8,4049,0.3726648688316345,0.8600000143051147,,
,8,4049,,,0.8738194704055786,
0.6889564394950867,9,4099,,,,
0.5313031673431396,9,4149,,,,
0.5841534733772278,9,4199,,,,
0.22763054072856903,9,4249,,,,
0.25505921244621277,9,4299,,,,
0.34558138251304626,9,4349,,,,
0.264629989862442,9,4399,,,,
0.43591994047164917,9,4449,,,,
0.3621846139431,9,4499,,,,
,9,4499,0.3623998761177063,0.8618749976158142,,
,9,4499,,,0.8809722065925598,
,10,4500,,,,0.8644999861717224
,10,4500,,,,0.8644999861717224
